NAME,FAMILY,COMMON_NAME,CONSERVATION_STATUS,NATIVE_STATUS
Abutilon eremitopetalum,Malvaceae,n/a,Endangered,Endemic
Abutilon incanum,Malvaceae,Ma‘o,Apparently Secure,Indigenous
Abutilon menziesii,Malvaceae,Ko‘oloa ‘ula,Endangered,Endemic
Abutilon sandwicense,Malvaceae,n/a,Endangered,Endemic
Acacia koa,Fabaceae,Koa,Apparently Secure,Endemic
Acacia koaia,Fabaceae,Koai‘a,Vulnerable,Endemic
Acaena exigua,Rosaceae,Liliwai,Endangered,Endemic
Achyranthes mutica,Amaranthaceae,n/a,Endangered,Endemic
Achyranthes splendens,Amaranthaceae,n/a,Endangered variety,Endemic
Adenophorus abietinus,Grammitidaceae,n/a,Apparently Secure,Endemic
Adenophorus epigaeus,Grammitidaceae,n/a,Apparently Secure,Endemic
Adenophorus haalilioanus,Grammitidaceae,n/a,Apparently Secure,Endemic
Adenophorus hymenophylloides,Grammitidaceae,Palai huna,Apparently Secure,Endemic
Adenophorus oahuensis,Grammitidaceae,n/a,Apparently Secure,Endemic
Adenophorus periens,Grammitidaceae,Palai lā‘au,Endangered,Endemic
Adenophorus pinnatifidus,Grammitidaceae,n/a,Apparently Secure,Endemic
Adenophorus tamariscinus,Grammitidaceae,Wahine noho mauna,Apparently Secure,Endemic
Adenophorus tripinnatifidus,Grammitidaceae,n/a,Apparently Secure,Endemic
Adenostemma viscosum,Asteraceae,Kāmanamana,Apparently Secure,Indigenous
Adiantum capillus-veneris,Pteridaceae,‘Iwa‘iwa,Apparently Secure,Indigenous
Agrostis sandwicensis,Poaceae,n/a,Apparently Secure,Endemic
Alectryon macrococcus,Sapindaceae,Māhoe,Endangered,Endemic
Alphitonia ponderosa,Rhamnaceae,Kauila,Rare,Endemic
Alyxia stellata,Apocynaceae,Maile,Apparently Secure,Indigenous
Anoectochilus sandvicensis,Orchidaceae,n/a,Rare,Endemic
Antidesma platyphyllum,Phyllanthaceae,Hamehame,Apparently Secure,Endemic
Antidesma pulvinatum,Phyllanthaceae,Hamehame,Apparently Secure,Endemic
Arachniodes insularis,Dryopteridaceae,n/a,Apparently Secure,Endemic
Argemone glauca,Papaveraceae,Pua kala,Apparently Secure,Endemic
Argyroxiphium caliginis,Asteraceae,Eke silversword,Rare,Endemic
Argyroxiphium grayanum,Asteraceae,Greensword,Apparently Secure,Endemic
